标题,价格,销量,店铺,发货地,品牌,型号,货号,玩偶种类,玩具狗种类,适用年龄,卡通角色,玩具类型,颜色分类,版本类型,材质,填充物,高度,是否有导购视频,泰迪熊类型,芭比型号,类型,适用年龄段,产地,玩具系列,当前链接,上级链接,下载时间
2018年狗年吉祥物公仔唐装旺财小狗狗定制LOGO生肖狗毛绒玩具玩偶,9.90,4350人付款,乖乖猫旗舰店,山东 临沂,乖乖猫,,狗年吉祥物,狗狗,,2岁 3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,,公仔,唐装狗20厘米 升官福狗23厘米 唐装泰迪狗25厘米 福包狗22cm 祥瑞狗20厘米 布艺狗狗22厘米 财神到23厘米 财运旺旺25厘米 梅花旺狗20厘米 福来狗20cm 卖家帮忙搭配款式 圆福狗狗20厘米 旗袍旺旺20厘米 布艺围巾狗22厘米 唐装旺狗20厘米 官福旺20厘米 唐装旺旺22厘米 吉祥如意狗20厘米 福旺红狗20厘米 喜庆圆旺狗20厘米 鸿福旺狗20厘米 鸿福狗20厘米 唐装福狗 20厘米 来福旺财狗20厘米,原装正版,毛绒,PP棉,（单个价格 颜色随机）,有,,,,,,,http://detail.tmall.com/item.htm?id=560280290415&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=132,2018-01-12 09:46:48
大熊毛绒玩具送女友抱抱枕泰迪熊猫公仔2米布娃娃女生生日礼物,68.00,3059人付款,浪漫曼巴旗舰店,江苏 扬州,浪漫曼巴,,曼巴-心动熊,熊熊,,4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,Teddy Bear/泰迪熊,公仔,心动熊-橙色 心动熊-粉色 心动熊-紫色 Love熊-卡其色 Love熊-巧克力色 情侣熊-米白色 情侣熊-灰色 情侣熊-浅棕色,国产,毛绒,PP棉,80厘米（送玫瑰） 1米（送玫瑰） 1米（特价每天10只） 1.2米（送玫瑰） 1.4米（送玫瑰） 1.6米（送玫瑰） 1.8米（送玫瑰） 2米（超大款+小熊+3朵玫瑰） 2.6米（土豪款+小熊+9朵玫瑰） 80厘米（箱装+送玫瑰） 1米（箱装+送玫瑰） 1.2米（箱装+送玫瑰） 1.4米（箱装+送玫瑰） 1.6米（箱装+送玫瑰） 1.8米（箱装+送玫瑰）,无,单熊,,,,,,http://detail.tmall.com/item.htm?id=544649847754&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=132,2018-01-12 09:46:49
2018狗年吉祥物小狗毛绒玩具生肖狗狗公仔新年会礼物diy定制LOGO,16.90,1859人付款,陶陶妮旗舰店,江苏 扬州,陶陶妮,00111,年货狗,狗狗,其他,3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,流浪狗,公仔,中国红-旺财一对 中国红-福 中国红-旺 中国红-财 金黄色-福 金黄色-旺 金黄色-财,国产,毛绒,PP棉,16厘米（带吸盘适合活动） 22厘米（带吸盘） 30厘米 45厘米 58厘米,有,,,,,,,http://detail.tmall.com/item.htm?id=561710627404&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=132,2018-01-12 09:46:49
毛绒玩具熊公仔2米布娃娃大熊生日礼物女孩送女友可爱睡觉抱玩偶,39.00,9866人付款,美丽新秘方,上海,开心猫,,,熊熊,,3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,抱抱熊,公仔,紫色瞌睡熊 粉红色泰迪熊 深棕色瞌睡熊 浅棕色泰迪熊 浅棕色瞌睡熊 米白色瞌睡熊 米白色泰迪熊 粉红色瞌睡熊 紫色泰迪熊 天蓝色泰迪熊 天蓝色瞌睡熊 深棕色泰迪熊,国产,毛绒,PP棉,1米 1.2米 1.6米(亏本促销) 1.8米(女生喜爱)+送玫瑰花 2米+送玫瑰花 2.2米+送玫瑰花 2.5米(超大号)+送玫瑰花,,,,,,,,http://item.taobao.com/item.htm?id=37567471428&ns=1&abbucket=0#detail,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=132,2018-01-12 09:46:49
1.6米泰迪熊猫公仔大号1.8米布娃娃抱抱熊毛绒玩具送女友生日礼物,98.00,3800人付款,润仪旗舰店,江苏 扬州,润仪,,RY-21-185,熊熊,,4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,抱抱熊,靠垫/抱枕,粉红色心动熊 浅棕色心动熊 深棕色心动熊 白色心动熊 白色（定制款） 深棕色（定制款） 浅棕色（定制款） 粉色（定制款） 粉红色心动熊（love520款） 白色（I LOVE YOU） 浅棕色（开心每一天） 白色(生日快乐),国产,毛绒,PP棉,直角量1.0米拉直量0.8米（可拆洗，收藏加购送礼品） 直角量1.2米拉直量1.0米（可拆洗，收藏加购送礼品） 直角量1.4米拉直量1.2米（可拆洗，收藏加购送礼品） 直角量1.6米拉直量1.35米（可拆洗，收藏加购送礼品） 直角量1.8米拉直1.6米（可拆洗，收藏加购送礼品） 直角量2.0米拉直量1.7米（可拆洗，收藏加购送礼品）,无,,,,,,,http://detail.tmall.com/item.htm?id=530557082706&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=132,2018-01-12 09:46:50
狗年吉祥物旺旺小狗毛绒玩具公仔旺财狗玩偶娃娃新年礼物公司,6.80,1427人付款,香依衣,江苏 扬州,other/其他,010,,狗狗,其他,2岁 3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,其他,公仔,祥云狗20CM 印花旺狗20CM 富贵铃铛狗20CM 富贵铃铛狗25CM 县官狗24CM 百乐财福狗20CM 卷尾巴花布狗16CM 卷尾巴花布狗20CM 百乐泰迪旺狗20CM 财神狗20CM 印花祥瑞狗20CM 唐装元宝狗20CM 唐装元宝狗25CM 狗年吉祥物16CM混搭 狗年吉祥物20CM混搭 狗年吉祥物25CM混搭 白色 米白色 深灰色 灰色 黑色 桔红色 玫红色 粉红色 红色 藕色 西瓜红 酒红色 卡其色 姜黄色 明黄色 柠檬黄 浅黄色 荧光黄 金色 香槟色 黄色 军绿色 浅绿色 绿色 青色 宝蓝色 浅蓝色 湖蓝色 深紫色 巧克力色 栗色 深卡其布色 深棕色 花色,国产,毛绒,PP棉,狗年吉祥物/颜色搭配发/单只价,,,,,,,,http://item.taobao.com/item.htm?id=560132997928&ns=1&abbucket=0#detail,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=132,2018-01-12 09:46:50
趴趴狗毛绒玩具可爱睡觉抱枕公仔布娃娃女孩韩国萌大玩偶熊送女友,39.00,4283人付款,晒乐玩具专营店,天津,伊美娃娃,,sl-02,狗狗,其他,4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,其他,公仔,可拆洗-条纹狗粉色 可拆洗-条纹狗蓝色,国产,毛绒,PP棉,【宇宙巨无霸】1.9米【送同款60cm颜色随机】 【收藏宝贝】1.55米【送同款60cm颜色随机】 100厘米【圣诞促销58元仅前100名】 【收藏宝贝】60厘米【送18cm爱心公仔】 【收藏宝贝】80厘米【送18cm爱心公仔】 【收藏宝贝】1米【送同款60cm颜色随机】 【收藏宝贝】1.2米【送同款60cm颜色随机】 【收藏宝贝】1.4米【送同款60cm颜色随机】,无,,,,,,,http://detail.tmall.com/item.htm?id=540942396532&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=132,2018-01-12 09:46:51
LIVHEART恐龙毛绒玩具娃娃少女心公仔可爱睡觉抱枕玩偶小女孩礼物,98.00,3191人付款,livheart旗舰店,江苏 南京,LIV HEART/丽芙之心,,48151,公仔,,3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,其他,靠垫/抱枕,食蚁兽/SHIRO 西洛 袋鼠/TOBI 托比 猪/PINKU 缤可（S号猪预售1月14日发货） 恐龙/MIDORI 米多（S号恐龙预售1月14日发货） 鲨鱼/SAME 萨姆 黑猫 /NEKO 纳克,原装正版,毛绒,,S号(尺寸见详情页参数) L号(尺寸见详情页参数) M号(尺寸见详情页参数),,,,,,,,http://detail.tmall.com/item.htm?id=547299210466&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=132,2018-01-12 09:46:52
帕丁顿熊公仔 毛绒公仔正版毛绒玩具圣诞节礼物生日 柏灵顿熊公仔,95.00,2054人付款,蜂蜜熊玩具,上海,兔耳朵,,5468,熊熊,,2岁 3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,抱抱熊,公仔,帕丁顿熊（箱装）,国产,毛绒,PP棉,1米（预售元旦发货） 30厘米（元旦发货）礼品装 50厘米（尽量圣诞节到）礼品装 80厘米（尽量圣诞节到）礼品装 50厘米（元旦发货）礼品装 80厘米（元旦后发货）礼品装,,,,,,,,http://item.taobao.com/item.htm?id=562646034322&ns=1&abbucket=0#detail,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=176,2018-01-12 09:46:52
网红穿毛衣玻尿酸鸭子ins小黄鸭毛绒玩具公仔玩偶礼物圣诞节礼物,60.00,5308人付款,精灵谷玩具旗舰店,江苏 扬州,THE ELVES VALLEY/精灵谷,,07101501,鸭鸭,,2岁 3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,其他,公仔,粉鸭黄衣+粉星帽+白包 粉鸭蓝发带+蓝开衫白包 黄鸭圣诞长帽+圣诞衣+棕包 粉鸭圣诞长帽款+圣诞衣 黄鸭圣诞短帽圣诞衣棕包 白鸭蓝帽粉开棕包 黄鸭蓝帽蓝开棕包 粉鸭幸运黑帽纯灰白包 白鸭幸运红帽+圣诞衣白包 白鸭天使帽蓝吊带 黄鸭黑帽+黑线衫 粉鸭粉球帽浅灰衣白包 黄鸭黑works帽+墨镜+狗狗衣 黄鸭粉发带+小熊衣白包 白鸭黑帽子红爱心 白鸭天使帽 粉鸭黄帽+小熊衣白包 黄鸭蓝work帽子+墨镜+蓝围巾 黄鸭黑WORK帽子+墨镜 粉鸭蓝帽 黄鸭蓝works帽+墨镜,国产,毛绒,PP棉,32厘米（送眼镜+滑板车+粉色项圈+创口贴+手拎袋）,无,,,,,,,http://detail.tmall.com/item.htm?id=560085878140&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=176,2018-01-12 09:46:53
抓娃娃机公仔婚庆抛洒小玩偶定制公司活动礼品儿童毛绒玩具狗批發,2.95,9850人付款,魏莫夏88,山东 临沂,典爱,,DIANAI-TOY-001,公仔,,2岁 3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,,公仔,小怪 让掌柜混搭发货 萝卜保卫 爱米熊 妖姬 变身小新 欧巴 奶牛 小怪兽 精灵球皮卡丘 龙卡丘 表情猫咪 狐狸狗 哈士奇 广东精品混搭30只起发 超人兔子 眼镜嘟嘟猴 卡通锤 粪斗 小香蕉 补丁青蛙 屁桃君 新款皮卡丘 抱牌熊 乳白色 白色 米白色 浅灰色 深灰色 灰色 银色 黑色 桔红色 玫红色 粉红色 红色 藕色 西瓜红 酒红色 卡其色 姜黄色 明黄色 杏色 柠檬黄 桔色 浅黄色 荧光黄 金色 香槟色 黄色 军绿色 墨绿色 浅绿色 绿色 翠绿色 荧光绿 青色 天蓝色 孔雀蓝 宝蓝色 浅蓝色 深蓝色 湖蓝色 蓝色 藏青色 浅紫色 深紫色 紫红色 紫罗兰 紫色 咖啡色 巧克力色 栗色 浅棕色 深卡其布色 深棕色 褐色 驼色 花色 其他颜色,国产,毛绒,PP棉,单只价/颜色随机/20CM左右,无,,,,,,,http://item.taobao.com/item.htm?id=542945569462&ns=1&abbucket=0#detail,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=176,2018-01-12 09:46:54
正版粉红豹公仔毛绒玩具可爱达浪韩国跳跳虎顽皮豹少女超大号娃娃,32.00,3306人付款,巢品母婴专营店,安徽 滁州,甜贝斯琪,,粉红豹,公仔,,3岁 4岁 5岁 6岁 7岁 8岁 9岁 11岁 12岁 13岁 14岁 14岁以上,粉红顽皮豹,公仔,白色 巧克力色 浅灰色 红色 蓝色 铁丝（无衣服） 肉色经典款（裸体无胡子电绣眼睛） 粉色俏皮款（裸体无胡子塑料眼睛）,原装正版,毛绒,PP棉,60厘米（直线距离）【收藏送挂件】 80厘米（直线距离）【收藏送挂件】 1米（直线距离）【收藏送挂件】 1.2米（直线距离）【收藏送挂件】 1.4米（直线距离）【收藏送挂件+暖手捂】 55cm（直线加脚长） 80cm（直线加脚长） 1.1m（直线加脚长）【收藏送挂件】 1.3m（直线加脚长）【收藏送挂件】 1.5m（直线加脚长）【收藏送挂件】 1.8m（直线加脚长）【收藏送挂件】,,,,,,,,http://detail.tmall.com/item.htm?id=559941502177&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=176,2018-01-12 09:46:55
可爱兔子毛绒玩具女生小白兔布娃娃睡觉抱枕儿童玩偶公仔女孩公主,20.60,11558人付款,上海妙喜玩具专营店,上海,多比乐,,qzt-01,兔兔,,4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,其他,公仔,粉色裙子 蓝色裙子 水果兔 糖果兔,国产,毛绒,PP棉,【特价促销】46厘米 【儿童玩偶】56厘米【收藏宝贝送猫咪大挂件】 【陪睡娃娃】70厘米【收藏宝贝送猫咪大挂件】 【掌柜推荐，性价比高】90厘米【收藏宝贝送猫咪大挂件】 【生日礼物】110厘米【收藏宝贝送46cm水果兔1个】 【新年礼物】130厘米【收藏宝贝送56cm水果兔1个】 【表白，女神喜爱】160厘米【收藏宝贝送56cm水果兔1个】,无,,,,,,,http://detail.tmall.com/item.htm?id=535401771559&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=176,2018-01-12 09:46:55
仓鼠公仔娃娃毛绒玩具可爱韩国玩偶女孩睡觉暖手抱枕捂手枕礼物萌,32.00,8365人付款,悦之恋旗舰店,江苏 扬州,悦之恋,仓鼠201704,20170406cs,鼠鼠,,3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,,公仔,灰色--开心 灰色--无辜 灰色--生气 棕色--开心 棕色--无辜 棕色--生气 灰色—开心（暖手捂） 灰色—生气（暖手捂） 灰色—泪眼（暖手捂） 棕色—开心（暖手捂） 棕色—生气（暖手捂） 棕色—泪眼（暖手捂）,国产,毛绒,PP棉,暖手捂（40cm*30cm） 40cm（插手公仔） 50cm(插手+毯子） 【礼物】50cm（可插手）礼品袋+玫瑰 40厘米 50厘米 60厘米 【礼物】40cm+礼品袋+玫瑰 【礼物】50cm+礼品袋+玫瑰 【礼物】60cm+礼品袋+玫瑰 50cm（插手公仔） 【礼物】40cm（可插手）礼品袋+玫瑰,无,,,,,,,http://detail.tmall.com/item.htm?id=548082968056&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=176,2018-01-12 09:46:56
泰迪熊猫可爱公仔2米大布娃娃抱睡觉女孩1.6抱抱熊毛绒玩具送女友,58.00,3527人付款,腾辉玩具专营店,广东 东莞,卡沙巴王子,纯情熊,0068,熊熊,,4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,抱抱熊,公仔,棕色 白色 粉红色,原装正版,毛绒,PP棉,全长量1米【送二哈小狗】 全长量1米【亏本促销100个！】 全长1.2米【送二哈小狗】热卖 全长1.4米【送二哈小狗】 全长1.6米【送二哈小狗】送人有面子 全长1.8米【送二哈小狗】巨无霸,无,,,,,,,http://detail.tmall.com/item.htm?id=562405169652&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=176,2018-01-12 09:46:57
正版泰迪熊大熊毛绒玩具抱抱熊布娃娃抱枕公仔熊猫玩偶送女友娃娃,88.00,1268人付款,米西公主旗舰店,江苏 扬州,米西公主,爱心熊,0008,熊熊,,4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,Teddy Bear/泰迪熊,公仔,深棕 浅棕 白色 粉色,国产,毛绒,PP棉,1.4米（袋装+小熊+玫瑰花） 80厘米（箱装+小熊+玫瑰花） 80厘米（袋装+小熊+玫瑰花） 1米（箱装+小熊+玫瑰花） 1米（袋装+小熊+玫瑰花） 1.2米（袋装+小熊+玫瑰花） 1米（特价每天10只） 1.2米（箱装+小熊+玫瑰花） 1.4米（箱装+小熊+玫瑰花） 1.6（箱装+小熊+玫瑰花） 1.8（箱装+小熊+玫瑰花） 1.6米（袋装+小熊+玫瑰花） 2米特大号（送小熊+9朵玫瑰花） 2.6米（土豪款送小熊+9朵玫瑰花） 1.8米（袋装+小熊+玫瑰花）,无,单熊,,,,,,http://detail.tmall.com/item.htm?id=523183827892&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=176,2018-01-12 09:46:57
2018狗年吉祥物公仔布娃娃生肖小狗狗毛绒玩具批发定制LOGO礼品物,8.60,7679人付款,韬略宝贝旗舰店,山东 临沂,Torrybaby/韬略宝贝,,T0088,狗狗,,2岁 3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,其他,公仔,唐装吉祥狗20厘米 经典唐装狗20厘米 缤纷花布狗22厘米 红旺福狗20厘米 红哈士奇25厘米 钱袋祥云狗20厘米 旺字当头狗20厘米 财福狗22厘米 圆腮狗20厘米 迎春狗20厘米 财神到狗20厘米 鸿福狗20厘米 祥云喜庆狗21厘米 花耳狗18厘米 围巾花布狗25厘米 炫彩狗20厘米 中国结灯笼狗20厘米 来福狗24厘米 祥瑞狗20厘米 卖家帮忙搭配款式 福袋狗20厘米 金布唐装狗20厘米 狗来富贵19厘米 梅花狗20厘米,原装正版,毛绒,PP棉,单个价格/颜色搭配,无,,,,,,,http://detail.tmall.com/item.htm?id=561091971596&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=176,2018-01-12 09:46:57
毛绒玩具大熊猫大号布娃娃泰迪熊1.8米1.6公仔抱抱熊生日礼物女生,85.00,1508人付款,百纳家居专营店,上海,Primere,泰迪熊,ljde-z111,熊熊,,4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,Teddy Bear/泰迪熊,公仔,棕色戴领结 白色带领结 米色带领结 棕色剃须 米色剃须 白色剃须 直毛 直毛剃须,原装正版,毛绒,PP棉,90厘米1.4公斤 90厘米穿毛衣 1米1.8公斤 1米戴领结加毛衣 1.2米2.3公斤 1.2米穿毛衣， 1.4米3.5公斤 1.4米穿毛衣 1.5米4公斤左右 1.5米穿毛衣 1.7米5.5公斤 1.8米装箱后9公斤 1.8米穿毛衣装箱发 2米戴领结装箱12公斤 1.7米穿毛衣,有,单熊,,,,,,http://detail.tmall.com/item.htm?id=3739617300&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=176,2018-01-12 09:46:58
婚庆抛洒布娃娃小玩偶抓机娃娃公仔女生狗布偶猪小号毛绒玩具批发,2.18,15395人付款,超越玩具城,山东 临沂,典爱,,公仔,公仔,,2岁 3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,其他,公仔,狐狸狗 海军兔 爱米熊 狗年吉祥物 补丁青蛙 陶小枫 妖姬 奶牛 红心 欧巴 骰子 复仇者 哈士奇 沙皮狗 网红鸭 卡通锤 萌萌鳄鱼 桃人 推荐-鸿福16cm 围巾白熊 超人兔 青青鳄鱼 广东精品20cm混搭 丸子头 乳白色 白色 米白色 浅灰色 深灰色 灰色 银色 黑色 桔红色 玫红色 粉红色 红色 藕色 西瓜红 酒红色 卡其色 姜黄色 明黄色 杏色 柠檬黄 桔色 浅黄色 荧光黄 金色 香槟色 黄色 军绿色 墨绿色 浅绿色 绿色 翠绿色 荧光绿 青色 天蓝色 孔雀蓝 宝蓝色 浅蓝色 深蓝色 湖蓝色 蓝色 藏青色 浅紫色 深紫色 紫红色 紫罗兰 紫色 咖啡色 巧克力色 栗色 浅棕色 深卡其布色 深棕色 褐色 驼色 花色 其他颜色,原装正版,毛绒,PP棉,颜色搭配/单个价格,,,,,,,,http://item.taobao.com/item.htm?id=547569100157&ns=1&abbucket=0#detail,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=176,2018-01-12 09:46:58
2018年狗年吉祥物公仔毛绒玩具生肖狗旺财狗新年会活动礼物品定制,15.60,1320人付款,宇禾旗舰店,江苏 扬州,宇禾,,YHFY旺财狗,狗狗,其他,2岁 3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,其他,公仔,旺财狗----黄嘴 旺财狗----白嘴 福字—福星高照狗 宝字__招财进宝狗 喜旺狗--龙凤呈祥 喜旺狗--旺财 喜旺狗--富贵牡丹花 嘟嘟--缎布 嘟嘟--牡丹,国产,毛绒,PP棉,23厘米 30厘米 40厘米,无,,,,,,,http://detail.tmall.com/item.htm?id=561542005643&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=176,2018-01-12 09:46:58
婚庆结婚毛绒玩具儿童小号玩偶抛洒礼物品女抓娃娃机娃娃批发公仔,2.61,6866人付款,攀总经理,北京,宣辰,,抓机娃娃,公仔,,3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,其他,公仔,款式混批不挑款 条纹猫 呆萌狗 唐装狗40厘米 和服KT 水果猫 条纹鲸鱼 愤怒狗 背带皮卡丘 旺财狗20厘米 飞机象 泰国象 不二围巾兔 背带史迪仔 美人鱼 背带熊 超人派大星 抱心龙猫 红萝卜 眯眼猫 史迪仔 哈士奇 迷彩派大星 眯眼水果猪 乳白色 白色 米白色 浅灰色 深灰色 灰色 银色 黑色 桔红色 玫红色 粉红色 红色 藕色 西瓜红 酒红色 卡其色 姜黄色 明黄色 杏色 柠檬黄 桔色 浅黄色 荧光黄 金色 香槟色 黄色 军绿色 墨绿色 浅绿色 绿色 翠绿色 荧光绿 青色 天蓝色 孔雀蓝 宝蓝色 浅蓝色 深蓝色 湖蓝色 蓝色 藏青色 浅紫色 深紫色 紫红色 紫罗兰 紫色 咖啡色 巧克力色 栗色 浅棕色 深卡其布色 深棕色 褐色 驼色 花色 其他颜色,国产,毛绒,PP棉,20厘米左右单只价格满5只包邮,无,,,,,,,http://item.taobao.com/item.htm?id=523768946865&ns=1&abbucket=0#detail,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=176,2018-01-12 09:46:59
娃娃机抱枕玩偶毛绒玩具小狗礼品布娃娃生肖狗2018狗年吉祥物公仔,9.90,28500人付款,萌萌兔旗舰店,江苏 扬州,MENGMENGBUNNY 萌萌兔,卡通手捂8.8,mmt1002,猪猪,,3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,其他,靠垫/抱枕,自家尖嘴祥云狗22cm 歪脖吐舌狗16cm 圆形柴犬狗16cm 毛豆米多款杂交狗16-18cm 9.9元小狗卖家帮忙配16-20cm 流浪狗17cm 长行绣花旗袍狗18cm 斜头旺财狗16cm 毛豆哈士奇红18cm 聚鑫唐装泰迪狗18cm 仙狗回首16cm 红黄胎记狗15cm 花布狗18cm 财神狗20cm 咿呀呀羽绒棉元宝狗22cm 咿呀呀铃铛拿牌狗22cm 圆形旺福狗18cm 15.8元狗卖家配19-24cm 财神围裙狗23cm 毛豆米拿钱带狗22cm 老爷横幅狗22m 自家铃铛财富狗20cm 毛豆米吐舌祥云狗22cm 手拿元宝微笑狗22cm,国产,毛绒,PP棉,单只价格,有,,,,,,,http://detail.tmall.com/item.htm?id=542975228358&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=176,2018-01-12 09:46:59
可爱泰迪熊公仔布娃娃抱抱熊毛绒玩具熊猫女孩睡觉抱枕送女友礼物,98.00,2615人付款,豆米玩旗舰店,江苏 扬州,豆米玩,,DMW-MPTDX-001,熊熊,,7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,害羞熊,公仔,深棕红白毛衣 深棕蓝白毛衣 深棕咖啡毛衣 浅棕蓝白毛衣 浅棕红白毛衣 浅棕爱心毛衣 深棕爱心毛衣 浅棕咖啡毛衣,国产,毛绒,PP棉,全长80厘米箱装+玫瑰花 全长80厘米+玫瑰花 全长量1米+送玫瑰花 全长量1米箱装+送玫瑰花 全长量1.2米+送小熊 全长量1.2米箱装+送小熊 全长量1.4米+送小熊 全长量1.4米箱装+送小熊 全长量1.6米+送小熊 全长量1.6米箱装+送小熊 全长量1.8米+送小熊 全长量2米+送小熊 全长量1.8米箱装+送小熊,,,,,,,,http://detail.tmall.com/item.htm?id=553375254572&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=176,2018-01-12 09:47:00
